siteID,dateResight,yearResight,birdID,resightTypePart,notesResight,notesResightPart
TATEJUAMD1,6/22/2010,2010,1991-46141,P,NA,"yearColumn = 2007, BANDED; yearColumn = 2008, resighted by participant 14 May; yearColumn = 2009, RESIGHTED BY PARTICIPANT JUNE; yearColumn = 2010, resighted by participant 19 May, 22 June; yearColumn = 2011, resighted by participant 05/27/2011, 08/03/2011; yearColumn = 2012, resighted by participant 3 May, 15 June, 9 July"
TATEJUAMD1,5/27/2011,2011,1991-46141,P,NA,"yearColumn = 2007, BANDED; yearColumn = 2008, resighted by participant 14 May; yearColumn = 2009, RESIGHTED BY PARTICIPANT JUNE; yearColumn = 2010, resighted by participant 19 May, 22 June; yearColumn = 2011, resighted by participant 05/27/2011, 08/03/2011; yearColumn = 2012, resighted by participant 3 May, 15 June, 9 July"
TATEJUAMD1,8/3/2011,2011,1991-46141,P,NA,"yearColumn = 2007, BANDED; yearColumn = 2008, resighted by participant 14 May; yearColumn = 2009, RESIGHTED BY PARTICIPANT JUNE; yearColumn = 2010, resighted by participant 19 May, 22 June; yearColumn = 2011, resighted by participant 05/27/2011, 08/03/2011; yearColumn = 2012, resighted by participant 3 May, 15 June, 9 July"
TATEJUAMD1,5/3/2012,2012,1991-46141,P,NA,"yearColumn = 2007, BANDED; yearColumn = 2008, resighted by participant 14 May; yearColumn = 2009, RESIGHTED BY PARTICIPANT JUNE; yearColumn = 2010, resighted by participant 19 May, 22 June; yearColumn = 2011, resighted by participant 05/27/2011, 08/03/2011; yearColumn = 2012, resighted by participant 3 May, 15 June, 9 July"
TATEJUAMD1,6/15/2012,2012,1991-46141,P,NA,"yearColumn = 2007, BANDED; yearColumn = 2008, resighted by participant 14 May; yearColumn = 2009, RESIGHTED BY PARTICIPANT JUNE; yearColumn = 2010, resighted by participant 19 May, 22 June; yearColumn = 2011, resighted by participant 05/27/2011, 08/03/2011; yearColumn = 2012, resighted by participant 3 May, 15 June, 9 July"
TATEJUAMD1,7/9/2012,2012,1991-46141,P,NA,"yearColumn = 2007, BANDED; yearColumn = 2008, resighted by participant 14 May; yearColumn = 2009, RESIGHTED BY PARTICIPANT JUNE; yearColumn = 2010, resighted by participant 19 May, 22 June; yearColumn = 2011, resighted by participant 05/27/2011, 08/03/2011; yearColumn = 2012, resighted by participant 3 May, 15 June, 9 July"
ZAMBTRAMD1,5/15/2008,2008,1991-46162,P,NA,"yearColumn = 2007, banded 23 july; yearColumn = 2008, resighted by participant 5/08; yearColumn = 2009, recaptured 5/15"
STURCARMD1,8/25/2013,2013,1991-46187,P,NA,"yearColumn = 2008, banded 2 july; yearColumn = 2009, resighted 7/3; yearColumn = 2012, Resighted 5/26/2012; yearColumn = 2013, resighted by participant 8/25 "
VERSBETMD1,7/5/2006,2006,2241-17612,P,NA,"yearColumn = 2005, banded 26 May; yearColumn = 2006, resighted by participant 5 July; yearColumn = 2007, Recapture 12 June; yearColumn = 2008, resighted by particpant 19 April"
VERSBETMD1,4/19/2008,2008,2241-17612,P,NA,"yearColumn = 2005, banded 26 May; yearColumn = 2006, resighted by participant 5 July; yearColumn = 2007, Recapture 12 June; yearColumn = 2008, resighted by particpant 19 April"
TATEJUAMD1,7/10/2006,2006,2241-17613,P,NA,"yearColumn = 2005, banded 8 June; yearColumn = 2006, resighted by participant 10 July"
BLOCDAVMD1,3/15/2009,2009,2241-17620,P,NA,"yearColumn = 2005, banded 23 Jun; yearColumn = 2008, resighted 5/17; yearColumn = 2009, RESIGHTED BY PARTICIPANT"
COLSKATMD1,1/22/2008,2008,2241-17722,P,NA,"yearColumn = 2005, banded 9 June; yearColumn = 2008, resighted by particpant 22 January 2009"
TATEJUAMD1,4/15/2002,2002,2250-24029,P,NA,"yearColumn = 2001, banded 16 May; yearColumn = 2002, resight April-July, recap 2 Oct; yearColumn = 2003, resight 10 March by participant"
TATEJUAMD1,7/15/2002,2002,2250-24029,P,NA,"yearColumn = 2001, banded 16 May; yearColumn = 2002, resight April-July, recap 2 Oct; yearColumn = 2003, resight 10 March by participant"
TATEJUAMD1,3/10/2003,2003,2250-24029,P,NA,"yearColumn = 2001, banded 16 May; yearColumn = 2002, resight April-July, recap 2 Oct; yearColumn = 2003, resight 10 March by participant"
CAMPGLOMD1,10/2/2002,2002,2250-24044,P,NA,"yearColumn = 2001, banded 31 May; yearColumn = 2002, resighted 2 Oct by participant"
STURCARMD1,8/21/2004,2004,2250-24061,P,NA,"yearColumn = 2001, banded 13 June; yearColumn = 2004, Resighted by participant 21 August; yearColumn = 2005, resighted by participant 5 Feb"
STURCARMD1,2/5/2005,2005,2250-24061,P,NA,"yearColumn = 2001, banded 13 June; yearColumn = 2004, Resighted by participant 21 August; yearColumn = 2005, resighted by participant 5 Feb"
MANNJANDC1,5/20/2003,2003,2250-24332,P,NA,"yearColumn = 2002, banded 30 May; yearColumn = 2003, resighted 20 May by participant"
BARBJERMD1,3/28/2009,2009,2250-24385,P,NA,"yearColumn = 2002, banded 18 Sept; yearColumn = 2008, resight 6/2/08; yearColumn = 2009, resighted by participant 28 March"
STURCARMD1,1/12/2003,2003,2250-24386,P,NA,"yearColumn = 2002, banded 20 Sept; yearColumn = 2003, resight 12 Jan"
STURCARMD1,4/4/2003,2003,2250-24393,P,NA,"yearColumn = 2002, banded 20 Sept; yearColumn = 2003, resight 4 April"
TATEJUAMD1,6/10/2003,2003,2250-24632,P,NA,"yearColumn = 2002, banded 18 July; yearColumn = 2003, resight 10 June by participant; yearColumn = 2004, resight March by participant; yearColumn = 2007, resighted by participant 8 Feb"
TATEJUAMD1,3/15/2004,2004,2250-24632,P,NA,"yearColumn = 2002, banded 18 July; yearColumn = 2003, resight 10 June by participant; yearColumn = 2004, resight March by participant; yearColumn = 2007, resighted by participant 8 Feb"
TATEJUAMD1,2/8/2007,2007,2250-24632,P,NA,"yearColumn = 2002, banded 18 July; yearColumn = 2003, resight 10 June by participant; yearColumn = 2004, resight March by participant; yearColumn = 2007, resighted by participant 8 Feb"
SCHLROBMD1,10/18/2012,2012,2250-24635,P,NA,"yearColumn = 2002, banded 22 July; recap 17 Sept; yearColumn = 2012, Resighted by participant 10/18/12"
TATEJUAMD1,3/10/2003,2003,2250-24686,P,NA,"yearColumn = 2002, banded 2 Oct; yearColumn = 2003, resight 10 March by participant"
STURCARMD1,4/26/2005,2005,2250-90370,P,NA,"yearColumn = 2003, Banded 8 May; yearColumn = 2004, Resighted 14 July; yearColumn = 2005, resighted by participant 26 april, 12 July; yearColumn = 2009, resighted 7/13"
STURCARMD1,7/12/2005,2005,2250-90370,P,NA,"yearColumn = 2003, Banded 8 May; yearColumn = 2004, Resighted 14 July; yearColumn = 2005, resighted by participant 26 april, 12 July; yearColumn = 2009, resighted 7/13"
COLSKATMD1,4/13/2003,2003,2250-90414,P,NA,"yearColumn = 2002, banded 26 April; yearColumn = 2003, resighted by participant 13 April; yearColumn = 2004, resighted by participant May 04; yearColumn = 2005, Resighted by participant in June; yearColumn = 2006, resighted by participant 10 November"
COLSKATMD1,5/4/2004,2004,2250-90414,P,NA,"yearColumn = 2002, banded 26 April; yearColumn = 2003, resighted by participant 13 April; yearColumn = 2004, resighted by participant May 04; yearColumn = 2005, Resighted by participant in June; yearColumn = 2006, resighted by participant 10 November"
COLSKATMD1,6/15/2005,2005,2250-90414,P,NA,"yearColumn = 2002, banded 26 April; yearColumn = 2003, resighted by participant 13 April; yearColumn = 2004, resighted by participant May 04; yearColumn = 2005, Resighted by participant in June; yearColumn = 2006, resighted by participant 10 November"
COLSKATMD1,11/10/2006,2006,2250-90414,P,NA,"yearColumn = 2002, banded 26 April; yearColumn = 2003, resighted by participant 13 April; yearColumn = 2004, resighted by participant May 04; yearColumn = 2005, Resighted by participant in June; yearColumn = 2006, resighted by participant 10 November"
BEALTOMMD1,6/4/2009,2009,2251-80301,P,NA,"yearColumn = 2008, banded 20 june; yearColumn = 2009, resighted by participant 4 June; yearColumn = 2010, recap 7/13"
VONGJENMD1,2/19/2011,2011,2251-80327,P,NA,"yearColumn = 2010, banded 5/10; resighted by participant 15 June, 19 July, 22 aug, 16 Dec; yearColumn = 2011, resighted by participant 13 March; yearColumn = 2012, resighted by participant 02/19/2012"
VONGJENMD1,3/13/2011,2011,2251-80327,P,NA,"yearColumn = 2010, banded 5/10; resighted by participant 15 June, 19 July, 22 aug, 16 Dec; yearColumn = 2011, resighted by participant 13 March; yearColumn = 2012, resighted by participant 02/19/2012"
VONGJENMD1,2/19/2011,2011,2251-80329,P,NA,"yearColumn = 2010, banded 5/10; yearColumn = 2011, resighted by participant 13 March; 29 April; yearColumn = 2012, resighted by participant 02/19/2012; 07/17/2012"
VONGJENMD1,3/13/2011,2011,2251-80329,P,NA,"yearColumn = 2010, banded 5/10; yearColumn = 2011, resighted by participant 13 March; 29 April; yearColumn = 2012, resighted by participant 02/19/2012; 07/17/2012"
VONGJENMD1,4/29/2011,2011,2251-80329,P,NA,"yearColumn = 2010, banded 5/10; yearColumn = 2011, resighted by participant 13 March; 29 April; yearColumn = 2012, resighted by participant 02/19/2012; 07/17/2012"
VONGJENMD1,7/17/2012,2012,2251-80329,P,NA,"yearColumn = 2010, banded 5/10; yearColumn = 2011, resighted by participant 13 March; 29 April; yearColumn = 2012, resighted by participant 02/19/2012; 07/17/2012"
FARYSIMMD1,4/22/2013,2013,2251-80337,P,NA,"yearColumn = 2010, banded 5/15; resighted by participant 10-26-2010; yearColumn = 2013, resighted by participant 22 April"
GECACARVA1,7/30/2011,2011,2251-80364,P,NA,"yearColumn = 2010, banded 7/2; yearColumn = 2011, resighted by participant 07/30/2011; yearColumn = 2012, Recapture 6/26/2012
resighted by participant 04/03/2012; yearColumn = 2013, recapture 5/6/2013"
GECACARVA1,4/3/2012,2012,2251-80364,P,NA,"yearColumn = 2010, banded 7/2; yearColumn = 2011, resighted by participant 07/30/2011; yearColumn = 2012, Recapture 6/26/2012
resighted by participant 04/03/2012; yearColumn = 2013, recapture 5/6/2013"
GECACARVA1,3/8/2012,2012,2251-80366,P,NA,"yearColumn = 2010, banded 7/2; resighted by participant 18 Dec; yearColumn = 2012, resighted by participant 03/08/2012, 6/5/2012"
GECACARVA1,6/5/2012,2012,2251-80366,P,NA,"yearColumn = 2010, banded 7/2; resighted by participant 18 Dec; yearColumn = 2012, resighted by participant 03/08/2012, 6/5/2012"
SCHLROBMD1,11/16/2011,2011,2251-80374,P,NA,"yearColumn = 2010, banded 7/12; yearColumn = 2011, Resight by participant 11/16/2011 "
MANNJANDC1,4/15/2008,2008,2251-80499,P,NA,"yearColumn = 2007, Banded 23 May; yearColumn = 2008, Resighted by participant April"
STANJEFMD1,4/27/2008,2008,2251-80521,P,NA,"yearColumn = 2006, banded June 17; yearColumn = 2008, resighted by participant 27 april"
TATEJUAMD1,5/17/2008,2008,2251-80522,P,NA,"yearColumn = 2006, banded 6/19; yearColumn = 2008, resighted by participant 17 May"
TATEJUAMD1,8/10/2008,2008,2251-80523,P,NA,"yearColumn = 2006, banded 6/19; yearColumn = 2007, resighted 6/27/07.; yearColumn = 2008, resighted by participant 10 August"
TATEJUAMD1,5/4/2008,2008,2251-80712,P,NA,"yearColumn = 2006, banded May 27; yearColumn = 2007, resighted 6/27/07.; yearColumn = 2008, resighted by participant 4 May; yearColumn = 2010, resighted by participant 16 June"
TATEJUAMD1,6/16/2010,2010,2251-80712,P,NA,"yearColumn = 2006, banded May 27; yearColumn = 2007, resighted 6/27/07.; yearColumn = 2008, resighted by participant 4 May; yearColumn = 2010, resighted by participant 16 June"
COLSKATMD1,7/7/2007,2007,2251-80730,P,NA,"yearColumn = 2006, banded June 8; yearColumn = 2007, resighted by participant 7 July.; yearColumn = 2008, Resighted by participant 28 June"
COLSKATMD1,6/28/2008,2008,2251-80730,P,NA,"yearColumn = 2006, banded June 8; yearColumn = 2007, resighted by participant 7 July.; yearColumn = 2008, Resighted by participant 28 June"
COLSKATMD1,7/2/2008,2008,2251-80731,P,NA,"yearColumn = 2006, banded June 13; yearColumn = 2008, resighted by participant 7/2/2008"
COLSKATMD1,5/24/2009,2009,2251-80739,P,NA,"yearColumn = 2006, banded June 11; yearColumn = 2008, resighted 6/19/2008; yearColumn = 2009, resighted by participant 24 May"
COLSKATMD1,1/22/2008,2008,2251-80740,P,NA,"yearColumn = 2006, banded June 11; yearColumn = 2008,  resighted by participant 22 January 2009"
COLSKATMD1,6/10/2010,2010,2251-80751,P,NA,"yearColumn = 2006, banded July 4; yearColumn = 2010, resighted by participant 10 June"
BEALTOMMD1,6/3/2009,2009,2260-22952,P,NA,"yearColumn = 2008, banded 20 june; yearColumn = 2009, recap 5/22/09.resighted by participant 3 June"
TATEJUAMD1,3/15/2008,2008,2261-38327,P,NA,"yearColumn = 2007, Banded 27 June; yearColumn = 2008, resighted by neighbor"
GECACARVA1,1/1/2010,2010,2261-38333,P,NA,"yearColumn = 2007, banded 13-Jul; yearColumn = 2010, resighted by participant 12/18/2010; 1/1/2011; yearColumn = 2011, resighted by neighbor 5/20"
GECACARVA1,12/18/2010,2010,2261-38333,P,NA,"yearColumn = 2007, banded 13-Jul; yearColumn = 2010, resighted by participant 12/18/2010; 1/1/2011; yearColumn = 2011, resighted by neighbor 5/20"
GECACARVA1,5/20/2011,2011,2261-38333,P,NA,"yearColumn = 2007, banded 13-Jul; yearColumn = 2010, resighted by participant 12/18/2010; 1/1/2011; yearColumn = 2011, resighted by neighbor 5/20"
KEYESUSMD1,6/20/2008,2008,2281-69111,P,NA,"yearColumn = 2007, banded 28-Jun; yearColumn = 2008, resighted by participant 20 June; yearColumn = 2011, resight by participant 5/27/11"
KEYESUSMD1,5/27/2011,2011,2281-69111,P,NA,"yearColumn = 2007, banded 28-Jun; yearColumn = 2008, resighted by participant 20 June; yearColumn = 2011, resight by participant 5/27/11"
LANDCELVA1,11/14/2009,2009,2281-69118,P,NA,"yearColumn = 2007, banded 7-Jul; yearColumn = 2009, resighted by participant 14 November; yearColumn = 2010, resighted by participant 19 March, 21 April; 24 June; resighted 6/4"
LANDCELVA1,3/19/2010,2010,2281-69118,P,NA,"yearColumn = 2007, banded 7-Jul; yearColumn = 2009, resighted by participant 14 November; yearColumn = 2010, resighted by participant 19 March, 21 April; 24 June; resighted 6/4"
LANDCELVA1,4/21/2010,2010,2281-69118,P,NA,"yearColumn = 2007, banded 7-Jul; yearColumn = 2009, resighted by participant 14 November; yearColumn = 2010, resighted by participant 19 March, 21 April; 24 June; resighted 6/4"
LANDCELVA1,6/24/2010,2010,2281-69118,P,NA,"yearColumn = 2007, banded 7-Jul; yearColumn = 2009, resighted by participant 14 November; yearColumn = 2010, resighted by participant 19 March, 21 April; 24 June; resighted 6/4"
STEWBETMD1,4/13/2008,2008,2281-69406,P,NA,"yearColumn = 2007, Banded June 15; yearColumn = 2008, resighted by participant 13 April, recaptured 7/8/08; yearColumn = 2009, resighted by participant 5 april Recap 5/13/2009; yearColumn = 2010, resighted 6/5/2010; by participant 26 sept.; yearColumn = 2013, resighted by participant 28 April"
STEWBETMD1,4/5/2009,2009,2281-69406,P,NA,"yearColumn = 2007, Banded June 15; yearColumn = 2008, resighted by participant 13 April, recaptured 7/8/08; yearColumn = 2009, resighted by participant 5 april Recap 5/13/2009; yearColumn = 2010, resighted 6/5/2010; by participant 26 sept.; yearColumn = 2013, resighted by participant 28 April"
STEWBETMD1,9/26/2010,2010,2281-69406,P,NA,"yearColumn = 2007, Banded June 15; yearColumn = 2008, resighted by participant 13 April, recaptured 7/8/08; yearColumn = 2009, resighted by participant 5 april Recap 5/13/2009; yearColumn = 2010, resighted 6/5/2010; by participant 26 sept.; yearColumn = 2013, resighted by participant 28 April"
STEWBETMD1,4/28/2013,2013,2281-69406,P,NA,"yearColumn = 2007, Banded June 15; yearColumn = 2008, resighted by participant 13 April, recaptured 7/8/08; yearColumn = 2009, resighted by participant 5 april Recap 5/13/2009; yearColumn = 2010, resighted 6/5/2010; by participant 26 sept.; yearColumn = 2013, resighted by participant 28 April"
BUISNORVA1,3/1/2008,2008,2281-69425,P,NA,"yearColumn = 2007, Banded 30 June; yearColumn = 2008, resighted 1 March by participant; yearColumn = 2009, resighted by participant 13 April"
BUISNORVA1,4/13/2009,2009,2281-69425,P,NA,"yearColumn = 2007, Banded 30 June; yearColumn = 2008, resighted 1 March by participant; yearColumn = 2009, resighted by participant 13 April"
NEWBCARVA1,12/27/2008,2008,2281-69427,P,NA,"yearColumn = 2007, Banded 2 July; yearColumn = 2008, resighted by participant 27 December.; yearColumn = 2009, resighted by participant 18 December.; yearColumn = 2010, resighted by participant 6/19/10"
NEWBCARVA1,12/18/2009,2009,2281-69427,P,NA,"yearColumn = 2007, Banded 2 July; yearColumn = 2008, resighted by participant 27 December.; yearColumn = 2009, resighted by participant 18 December.; yearColumn = 2010, resighted by participant 6/19/10"
NEWBCARVA1,6/19/2010,2010,2281-69427,P,NA,"yearColumn = 2007, Banded 2 July; yearColumn = 2008, resighted by participant 27 December.; yearColumn = 2009, resighted by participant 18 December.; yearColumn = 2010, resighted by participant 6/19/10"
CAMPGLOMD1,1/31/2009,2009,2281-69466,P,NA,"yearColumn = 2008, banded_6/9/08, resighted by participant 10/27/08; yearColumn = 2009, recap 5/12/09 resighted by participant in 1/11/09 -4/23/09; yearColumn = 2010, resighted by participant 1/31/10 and 2/14/10"
CAMPGLOMD1,2/14/2009,2009,2281-69466,P,NA,"yearColumn = 2008, banded_6/9/08, resighted by participant 10/27/08; yearColumn = 2009, recap 5/12/09 resighted by participant in 1/11/09 -4/23/09; yearColumn = 2010, resighted by participant 1/31/10 and 2/14/10"
CAMPGLOMD1,1/24/2008,2008,2281-69468,P,NA,"yearColumn = 2008, banded_6/9/08; resighted by participant 9/20/08; yearColumn = 2009, resighted by participant 1/24/09-10/22/09"
CAMPGLOMD1,10/22/2009,2009,2281-69468,P,NA,"yearColumn = 2008, banded_6/9/08; resighted by participant 9/20/08; yearColumn = 2009, resighted by participant 1/24/09-10/22/09"
BALASUCMD1,4/22/2009,2009,2301-55929,P,NA,"yearColumn = 2008, banded 6/7; yearColumn = 2009, resighted by participant 22 april"
STANJEFMD1,6/13/2009,2009,2301-55933,P,NA,"yearColumn = 2008, banded 11 June; yearColumn = 2009, resighted by participant 13 June"
FARYSIMMD1,9/6/2010,2010,2301-55938,P,NA,"yearColumn = 2008, banded 13 June; yearColumn = 2010, resighted at Barnes 5/14; resighted by participant 6 Sept"
TATEJUAMD1,5/2/2009,2009,2301-55943,P,NA,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant 2 May; yearColumn = 2010, resighted by participant 14 May"
TATEJUAMD1,5/14/2010,2010,2301-55943,P,NA,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant 2 May; yearColumn = 2010, resighted by participant 14 May"
TATEJUAMD1,8/29/2009,2009,2301-55945,P,NA,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant 29 August"
PHARAIMMD1,6/25/2009,2009,2301-55948,P,NA,"yearColumn = 2008, BANDED 16 June; yearColumn = 2009, resighted by participant 6/25"
PADORAMVA1,6/25/2012,2012,2301-55960,P,NA,"yearColumn = 2008, banded 23 June; yearColumn = 2010, resighted 7/1/10, missing Pk band; yearColumn = 2012, resighted by participant 25 June"
BARBJERMD1,3/10/2012,2012,2301-56016,P,NA,"yearColumn = 2007, banded 27 June; yearColumn = 2012, resighted by participant 03/10/2012"
MORRCHRVA1,5/3/2012,2012,2301-56048,P,NA,"yearColumn = 2008, banded_6/16; yearColumn = 2009, recapture 5 jul; yearColumn = 2012, resighted by participant 5/3/2012"
STEWBETMD1,5/13/2010,2010,2301-56503,P,NA,"yearColumn = 2009, Banded 5/13/2009; yearColumn = 2010, resighted by participant 13 May, 5 June; yearColumn = 2011, resighted by participant 06/16/2011"
STEWBETMD1,6/5/2010,2010,2301-56503,P,NA,"yearColumn = 2009, Banded 5/13/2009; yearColumn = 2010, resighted by participant 13 May, 5 June; yearColumn = 2011, resighted by participant 06/16/2011"
STEWBETMD1,6/16/2011,2011,2301-56503,P,NA,"yearColumn = 2009, Banded 5/13/2009; yearColumn = 2010, resighted by participant 13 May, 5 June; yearColumn = 2011, resighted by participant 06/16/2011"
BUISNORVA1,4/13/2009,2009,2301-56542,P,NA,"yearColumn = 2008, Banded July 13; yearColumn = 2009, resighted by participant 13 April"
GECACARVA1,6/21/2009,2009,2301-56567,P,NA,"yearColumn = 2008, Banded June 18; yearColumn = 2009, resighted by participant 21 June
; yearColumn = 2010, resighted by participant 5/1/2011; yearColumn = 2012, 6/6/2012 resight by participant; yearColumn = 2013, resighted 2013; yearColumn = 2015, Resighted by participant"
GECACARVA1,5/1/2011,2011,2301-56567,P,NA,"yearColumn = 2008, Banded June 18; yearColumn = 2009, resighted by participant 21 June
; yearColumn = 2010, resighted by participant 5/1/2011; yearColumn = 2012, 6/6/2012 resight by participant; yearColumn = 2013, resighted 2013; yearColumn = 2015, Resighted by participant"
GECACARVA1,6/6/2012,2012,2301-56567,P,NA,"yearColumn = 2008, Banded June 18; yearColumn = 2009, resighted by participant 21 June
; yearColumn = 2010, resighted by participant 5/1/2011; yearColumn = 2012, 6/6/2012 resight by participant; yearColumn = 2013, resighted 2013; yearColumn = 2015, Resighted by participant"
GECACARVA1,3/15/2015,2015,2301-56567,P,NA,"yearColumn = 2008, Banded June 18; yearColumn = 2009, resighted by participant 21 June
; yearColumn = 2010, resighted by participant 5/1/2011; yearColumn = 2012, 6/6/2012 resight by participant; yearColumn = 2013, resighted 2013; yearColumn = 2015, Resighted by participant"
PERRCHRMD1,8/8/2009,2009,2301-56601,P,NA,"yearColumn = 2008, banded_5/28/08; yearColumn = 2009, resighted by participant 8 August; yearColumn = 2010, resighted by participant 28 Feb; resight 7/7; yearColumn = 2012, resighted by participant 03/15/2012"
PERRCHRMD1,2/28/2010,2010,2301-56601,P,NA,"yearColumn = 2008, banded_5/28/08; yearColumn = 2009, resighted by participant 8 August; yearColumn = 2010, resighted by participant 28 Feb; resight 7/7; yearColumn = 2012, resighted by participant 03/15/2012"
PERRCHRMD1,3/15/2012,2012,2301-56601,P,NA,"yearColumn = 2008, banded_5/28/08; yearColumn = 2009, resighted by participant 8 August; yearColumn = 2010, resighted by participant 28 Feb; resight 7/7; yearColumn = 2012, resighted by participant 03/15/2012"
PERRCHRMD1,3/22/2012,2012,2301-56603,P,NA,"yearColumn = 2008, banded_5/28/08; yearColumn = 2012, resighted by participant 03/22/2012"
CAMPGLOMD1,2/19/2008,2008,2301-56611,P,NA,"yearColumn = 2008, banded 6/9/08, resighted by participant 11/24/08; yearColumn = 2009, resighted by participant 2/19/09 - 4/23/09; yearColumn = 2011, resighted by participant 22 April and 17 Feb 2012; yearColumn = 2012, resighted by participant 1 March and in August;Recaptured 6/6/2012; ; yearColumn = 2013, resight 7/1/13"
CAMPGLOMD1,4/23/2009,2009,2301-56611,P,NA,"yearColumn = 2008, banded 6/9/08, resighted by participant 11/24/08; yearColumn = 2009, resighted by participant 2/19/09 - 4/23/09; yearColumn = 2011, resighted by participant 22 April and 17 Feb 2012; yearColumn = 2012, resighted by participant 1 March and in August;Recaptured 6/6/2012; ; yearColumn = 2013, resight 7/1/13"
CAMPGLOMD1,2/17/2010,2010,2301-56611,P,NA,"yearColumn = 2008, banded 6/9/08, resighted by participant 11/24/08; yearColumn = 2009, resighted by participant 2/19/09 - 4/23/09; yearColumn = 2011, resighted by participant 22 April and 17 Feb 2012; yearColumn = 2012, resighted by participant 1 March and in August;Recaptured 6/6/2012; ; yearColumn = 2013, resight 7/1/13"
CAMPGLOMD1,4/22/2011,2011,2301-56611,P,NA,"yearColumn = 2008, banded 6/9/08, resighted by participant 11/24/08; yearColumn = 2009, resighted by participant 2/19/09 - 4/23/09; yearColumn = 2011, resighted by participant 22 April and 17 Feb 2012; yearColumn = 2012, resighted by participant 1 March and in August;Recaptured 6/6/2012; ; yearColumn = 2013, resight 7/1/13"
CAMPGLOMD1,8/15/2012,2012,2301-56611,P,NA,"yearColumn = 2008, banded 6/9/08, resighted by participant 11/24/08; yearColumn = 2009, resighted by participant 2/19/09 - 4/23/09; yearColumn = 2011, resighted by participant 22 April and 17 Feb 2012; yearColumn = 2012, resighted by participant 1 March and in August;Recaptured 6/6/2012; ; yearColumn = 2013, resight 7/1/13"
KEYESUSMD1,3/9/2009,2009,2301-56621,P,NA,"yearColumn = 2008, banded_6/20/08; yearColumn = 2009, resighted by participant 3/9/2009"
LANDCELVA1,7/2/2009,2009,2301-56632,P,NA,"yearColumn = 2008, banded_7/1/08; yearColumn = 2009, resighted by participant 2 July; yearColumn = 2010, resighted by participant 5, 9 April; 10 July; yearColumn = 2011, resighted by participant 07/06/2011"
LANDCELVA1,4/5/2010,2010,2301-56632,P,NA,"yearColumn = 2008, banded_7/1/08; yearColumn = 2009, resighted by participant 2 July; yearColumn = 2010, resighted by participant 5, 9 April; 10 July; yearColumn = 2011, resighted by participant 07/06/2011"
LANDCELVA1,4/9/2010,2010,2301-56632,P,NA,"yearColumn = 2008, banded_7/1/08; yearColumn = 2009, resighted by participant 2 July; yearColumn = 2010, resighted by participant 5, 9 April; 10 July; yearColumn = 2011, resighted by participant 07/06/2011"
LANDCELVA1,7/6/2011,2011,2301-56632,P,NA,"yearColumn = 2008, banded_7/1/08; yearColumn = 2009, resighted by participant 2 July; yearColumn = 2010, resighted by participant 5, 9 April; 10 July; yearColumn = 2011, resighted by participant 07/06/2011"
STEWBETMD1,5/13/2009,2009,2301-56636,P,NA,"yearColumn = 2008, banded 7/8/08; yearColumn = 2009, Resight by participant, 5/13/2009"
STEWBETMD1,4/29/2010,2010,2301-56637,P,NA,"yearColumn = 2008, banded_7/8/08; yearColumn = 2010, resighted by participant 29 April; recaptured 6/5/2010"
STEWBETMD1,4/5/2009,2009,2301-56639,P,NA,"yearColumn = 2008, banded_7/8/08; yearColumn = 2009, resighted by participant 5 April"
STEWBETMD1,5/29/2009,2009,2301-56640,P,NA,"yearColumn = 2008, banded_7/8/08; yearColumn = 2009, resighted by participant 29 May"
STEWBETMD1,3/21/2010,2010,2301-56641,P,NA,"yearColumn = 2008, banded_7/8/08; yearColumn = 2010, resighted 21 march by participant; resighted 6/5/2010; yearColumn = 2011, resighted by participant 01/14/2012; yearColumn = 2012, resighted by participant 6 May"
STEWBETMD1,1/14/2011,2011,2301-56641,P,NA,"yearColumn = 2008, banded_7/8/08; yearColumn = 2010, resighted 21 march by participant; resighted 6/5/2010; yearColumn = 2011, resighted by participant 01/14/2012; yearColumn = 2012, resighted by participant 6 May"
STEWBETMD1,5/6/2012,2012,2301-56641,P,NA,"yearColumn = 2008, banded_7/8/08; yearColumn = 2010, resighted 21 march by participant; resighted 6/5/2010; yearColumn = 2011, resighted by participant 01/14/2012; yearColumn = 2012, resighted by participant 6 May"
CAMPROSMD1,5/15/2009,2009,2301-56837,P,NA,"yearColumn = 2008, banded 25 June; yearColumn = 2009, resighted by participant 5/2009; yearColumn = 2010, Recaptured 7/27/2010"
BARBJERMD1,6/14/2011,2011,2301-56956,P,NA,"yearColumn = 2009, banded 7/13/2009; yearColumn = 2011, resighted by participant 06/14/2011. Found dead 6/24"
BARBJERMD1,6/24/2011,2011,2301-56956,P,NA,"yearColumn = 2009, banded 7/13/2009; yearColumn = 2011, resighted by participant 06/14/2011. Found dead 6/24"
BARBJERMD1,5/11/2011,2011,2301-56957,P,NA,"yearColumn = 2009, banded 7/13/2009; yearColumn = 2011, resighted by participant 11 May"
