site,date,observerEnc,encounterType,speciesEnc,bandNumber,colorCombo,age,sex,breedingCond,fat,mass,wing,tl,tarsus,notesEnc,timeEnc
BEALTOMMD1,2009-05-22,NA,Band,CACH,2540-62872,"Y,A/R",AHY,M,NA,NA,9,64,NA,16.88,"yearColumn = 2009, banded 5/22/09 -",NA
BEALTOMMD1,2009-05-22,NA,Band,CACH,2540-62873,"A/Y,W",U,U,NA,NA,10,61,NA,15.83,"yearColumn = 2009, banded 5/22/09 -",NA
BEALTOMMD1,2009-05-22,NA,Band,CACH,2540-62874,"R,R/A",AHY,M,NA,NA,NA,61,NA,16.65,"yearColumn = 2009, banded 5/2/09 -",NA
NEWBCARVA1,2009-05-22,NA,Band,HOWR,2590-82523,"W,P/A",AHY,M,NA,NA,11.2,53,NA,17.76,"yearColumn = 2009, banded 5/22/2009; yearColumn = 2010, resighted by participant 17 May -",NA
NEWBCARVA1,2009-05-22,NA,Band,CACH,2590-82524,"Y/R,A",AHY,M,NA,NA,10.2,60.5,NA,15.43,"yearColumn = 2009, banded 5/22/2009; yearColumn = 2010, resighted by participant 23 Dec -",NA
NEWBCARVA1,2009-05-22,NA,Band,CACH,2590-82525,"A/O,W",AHY,M,NA,NA,9.5,60,NA,15.25,"yearColumn = 2009, banded 5/22/2009; yearColumn = 2010, resighted by participant 23 Dec -",NA
NEWBCARVA1,2009-05-22,NA,Recap,NOCA,1991-21138,"O,W/A",AHY,F,NA,NA,42.9,NA,NA,NA,"yearColumn = 2007, Banded 2 July; yearColumn = 2008, resighted by participant 1 April; resighted July 11, 2008; yearColumn = 2009, recapture 5/22/2009; yearColumn = 2010, resighted by participant 17 May; yearColumn = 2011, resighted by participant 29 Oct.; yearColumn = 2012, resighted by participant Apr. 27, 2012; yearColumn = 2013, resighted by tech 7/31/13 -",NA
BRIGKIMMD1,2009-05-28,NA,Band,CACH,2590-82201,"PK,A/Y",AHY,M,NA,NA,9.8,63,NA,14.53,"yearColumn = 2009, banded 5/28/2009 -",NA
BRIGKIMMD1,2009-05-28,NA,Band,AMRO,1292-64501,"PK,O/A",AHY,M,NA,NA,72.8,126,NA,33.98,"yearColumn = 2009, banded 5/28/2009 -",NA
BRIGKIMMD1,2009-05-28,NA,Band,GRCA,2411-37104,"BU/PK,A",AHY,M,NA,NA,36.1,86,NA,27.55,"yearColumn = 2009, banded 5/28/2009 -",NA
BRIGKIMMD1,2009-05-28,NA,Band,NOCA,2411-37103,"W,P/A",AHY,M,NA,NA,45.5,93,NA,25.32,"yearColumn = 2009, banded 5/28/2009; yearColumn = 2012, Resighted 6/30/2012 -",NA
COLSKATMD1,2009-05-29,NA,Band,AMRO,1292-64502,"Y/PK,A",AHY,M,NA,NA,76,130,NA,33.71,"yearColumn = 2009, banded 5/29/2009 -",NA
COLSKATMD1,2009-05-29,NA,Band,NOCA,2411-37105,"W,O/A",AHY,F,NA,NA,40.5,90.5,NA,25.41,"yearColumn = 2009, banded 5/29/2009 -",NA
COLSKATMD1,2009-05-29,NA,Band,SOSP,2441-13701,"W,A/R",AHY,F,NA,NA,21.6,61.5,NA,20.74,"yearColumn = 2009, banded 5/29/2009; yearColumn = 2010, resighted by participant 8 May -",NA
KEYESUSMD1,2009-06-02,NA,Recap,CACH,2540-62828,"G/A,O",NA,NA,NA,NA,NA,NA,NA,NA,"yearColumn = 2008, banded_6/20/08; yearColumn = 2009, resighted by participant 3/9/2009 Recap 6/2/2009 ",NA
KEYESUSMD1,2009-06-02,NA,Band,HOWR,2590-82540,"BK,A/BK",AHY,M,NA,NA,11,49,NA,17.07,"yearColumn = 2009, Banded 6/2/2009 -",NA
KEYESUSMD1,2009-06-02,NA,Band,HOWR,2590-82541,"O/A,O",AHY,F,NA,NA,12.1,52,NA,16.17,"yearColumn = 2009, Banded 6/2/2009 -",NA
KEYESUSMD1,2009-06-02,NA,Band,GRCA,2411-37257,"BU,PK/A",ASY,M,NA,NA,38,90,NA,27.56,"yearColumn = 2009, Banded 6/2/2009 -",NA
KEYESUSMD1,2009-06-02,NA,Band,GRCA,2411-37259,"R/A,PK",ASY,M,NA,NA,35.2,90,NA,27.3,"yearColumn = 2009, Banded 6/2/2009 -",NA
KEYESUSMD1,2009-06-02,NA,Band,NOCA,2411-37261,"P,PK/A",AHY,M,NA,NA,42.6,95,NA,24.41,"yearColumn = 2009, Banded 6/2/2009 -",NA
KEYESUSMD1,2009-06-02,NA,Band,CACH,2590-82539,"BK,A/W",AHY,F,NA,NA,9,58,NA,15.66,"yearColumn = 2009, Banded 6/2/2009; yearColumn = 2011, Resight by participant 6/5/2011 -",NA
KEYESUSMD1,2009-06-02,NA,Band,NOCA,2411-37256,"R,G/A",AHY,M,NA,NA,43.7,93,NA,24.12,"yearColumn = 2009, Banded 6/2/2009; yearColumn = 2010, resighted by participant 15 May -",NA
KEYESUSMD1,2009-06-02,NA,Band,CACH,2590-82542,"W,A/O",AHY,M,NA,NA,10.1,58,NA,15.57,"yearColumn = 2009, Banded 6/2/2009; yearColumn = 2010, resighted by participant 15 April, 7 June, 10/10/10 -",NA
KEYESUSMD1,2009-06-02,NA,Band,NOCA,2411-37258,"A,Y/P",AHY,F,NA,NA,46.8,90,NA,23.8,"yearColumn = 2009, Banded 6/2/2009; yearColumn = 2011, Resight by participant 11/27/11; yearColumn = 2012, Resight by participant 6/9/2012; yearColumn = 2013, Resighted by participant 4/5/2013 -",NA
KEYESUSMD1,2009-06-02,NA,Band,NOCA,2411-37260,"PK,A/W",AHY,M,NA,NA,41.6,95,NA,24.39,"yearColumn = 2009, Banded 6/2/2009; yearColumn = 2010, resighted by participant 17 May, 14 June; yearColumn = 2011, resighted by participant 5/1/11, 6/17/11; yearColumn = 2012, resighted by participant 1/3/12, 5/1/12; yearColumn = 2013, reisighted by participant 5/5/2013 -",NA
MANNJANDC1,2009-06-16,NA,Band,SOSP,2441-15020,"R/PK,A",AHY,M,NA,NA,19,64,NA,21.9,"yearColumn = 2009, banded 6/16/09 -",NA
MANNJANDC1,2009-06-16,NA,Band,HOWR,2590-82601,"A,P/G",HY,U,NA,NA,11,52,NA,19.04,"yearColumn = 2009, banded 6/16/09 -",NA
MANNJANDC1,2009-06-16,NA,Band,CARW,2441-15021,"W,BU/A",AHY,F,NA,NA,16,57,NA,22.04,"yearColumn = 2009, banded 6/16/09 -",NA
MANNJANDC1,2009-06-16,NA,Band,NOCA,2411-37736,"O,G/A",HY,U,NA,NA,36,82,NA,26.3,"yearColumn = 2009, banded 6/16/09 -",NA
MANNJANDC1,2009-06-16,NA,Band,SOSP,2441-15022,"PK,A/P",HY,U,NA,NA,NA,60,NA,21.54,"yearColumn = 2009, banded 6/16/09 -",NA
MANNJANDC1,2009-06-16,NA,Band,NOCA,2411-37734,"BU,A/G",HY,U,NA,NA,38,85,NA,24.37,"yearColumn = 2009, banded 6/16/09 -",NA
MANNJANDC1,2009-06-16,NA,Band,NOCA,2411-37735,"W,Y/A",AHY,F,NA,NA,39,93,NA,23.84,"yearColumn = 2009, banded 6/16/09 -",NA
MANNJANDC1,2009-06-16,NA,Band,SOSP,2441-15023,"PK/A,Y",AHY,M,NA,NA,22,65,NA,23.31,"yearColumn = 2009, banded 6/16/09 -",NA
MANNJANDC1,2009-06-16,NA,Band,NOCA,2411-37737,"A,W/R",HY,U,NA,NA,41,80,NA,27.15,"yearColumn = 2009, banded 6/16/09 -",NA
MANNJANDC1,2009-06-16,NA,Band,GRCA,2411-37738,"A,BK/PK",U,U,NA,NA,37,92,NA,32.07,"yearColumn = 2009, banded 6/16/09 -",NA
MANNJANDC1,2009-06-16,NA,Band,NOCA,2411-37741,"A,BK/G",HY,U,NA,NA,41,89,NA,27.94,"yearColumn = 2009, banded 6/16/09 -",NA
MANNJANDC1,2009-06-16,NA,Band,NOCA,2411-37739,"A/R,O",AHY,F,NA,NA,40,93,NA,28.02,"yearColumn = 2009, banded 6/16/09; yearColumn = 2010, recap 7/1 -",NA
MANNJANDC1,2009-06-16,NA,Band,NOCA,2411-37740,"A,G/Y",AHY,M,NA,NA,46,94,NA,27.59,"yearColumn = 2009, banded 6/16/09; yearColumn = 2013, resighted -",NA
MANNJANDC1,2009-06-16,NA,Band,CARW,2441-15024,"R/A,BK",AHY,M,NA,NA,22,60,NA,25.54,"yearColumn = 2009, banded with aluminum already had R,Bk; yearColumn = 2010, recap 7/1/2010 -",NA
MANNJANDC1,2009-06-16,NA,Band,CACH,2590-82602,"BU,BU/A",HY,M,NA,NA,9,59,NA,18.32,"yearColumn = 2009, banded 6/16/09; yearColumn = 2010, banded 7/1/2010 -",NA
MANNJANDC1,2009-06-16,NA,Band,CACH,2590-82603,"A,BU/Y",HY,F,NA,NA,9,60,NA,17.78,"yearColumn = 2009, banded 6/16/09; yearColumn = 2010, re-cap 7/1/2010 -",NA
LEONTESDC1,2009-06-21,NA,Band,AMRO,1292-64509,"PK,BU/A",AHY,M,NA,NA,74.1,120,NA,32.3,"yearColumn = 2009, banded 6/21/2009 -",NA
LEONTESDC1,2009-06-21,NA,Band,GRCA,2411-37129,"W/A,PK",AHY,M,NA,NA,40,82,NA,28.74,"yearColumn = 2009, banded 6/21/2009 -",NA
BLOCDAVMD1,2009-06-23,NA,Band,NOCA,2411-37748,"O/P,A",AHY,M,NA,NA,45,95,NA,25.53,"yearColumn = 2009, banded 6/23/2009 -",NA
BLOCDAVMD1,2009-06-23,NA,Band,HOWR,2590-82608,"W/A,G",AHY,M,NA,NA,11,51,NA,17.99,"yearColumn = 2009, banded 6/23/2009 -",NA
BLOCDAVMD1,2009-06-23,NA,Band,CACH,2590-82610,"O/A,R",U,U,NA,NA,10,61,NA,16.24,"yearColumn = 2009, BANDED 6/23/2009 -",NA
BLOCDAVMD1,2009-06-23,NA,Band,CACH,2590-82611,"W,R/A",AHY,F,NA,NA,9,61,NA,16.47,"yearColumn = 2009, BANDED 6/23/2009 -",NA
BLOCDAVMD1,2009-06-23,NA,Band,CACH,2590-82612,"A,BU/Y",HY,U,NA,NA,9,60,NA,15.99,"yearColumn = 2009, BANDED 6/23/2009 -",NA
BLOCDAVMD1,2009-06-23,NA,Band,CACH,2590-82613,"A,P/Y",AHY,F,NA,NA,9,59,NA,15.65,"yearColumn = 2009, BANDED 6/23/2009 -",NA
BLOCDAVMD1,2009-06-23,NA,Band,CACH,2590-82614,"A,BU/P",HY,U,NA,NA,11,49,NA,18.07,"yearColumn = 2009, BANDED 6/23/2009 -",NA
BLOCDAVMD1,2009-06-23,NA,Band,HOWR,2590-82609,"G/A,P",AHY,M,NA,NA,11,51,NA,17.8,"yearColumn = 2009, banded 6/23/09; yearColumn = 2010, Recap 7/7/2010 -",NA
VERSBETMD1,2009-07-02,NA,Band,CACH,2590-82565,"P/A,P",HY,U,NA,NA,9.4,59,NA,14.97,"yearColumn = 2009, banded 7/2/2009 -",NA
VERSBETMD1,2009-07-02,NA,Band,GRCA,2301-56941,"W/A,Y",AHY,M,NA,NA,32.6,87,NA,27.66,"yearColumn = 2009, banded 7/2/2009 -",NA
VERSBETMD1,2009-07-02,NA,Band,CARW,2441-14041,"W,A/BU",AHY,M,NA,NA,21.5,60,NA,22.72,"yearColumn = 2009, banded 7/2/2009; yearColumn = 2010, resighted by participant 9x 08/09-04/10; resighted 5/29/2010
; yearColumn = 2014, resighted 6/21/2014 -",NA
STURCARMD1,2009-07-03,NA,Band,GRCA,2411-37418,"Y,A/PK",AHY,F,NA,NA,39.2,88.5,NA,28.73,"yearColumn = 2009, banded 7/3/09 -",NA
STURCARMD1,2009-07-03,NA,Band,GRCA,2411-37419,"PK/W,A",U,U,NA,NA,37.4,91,NA,30.45,"yearColumn = 2009, banded 7/3/09 -",NA
STURCARMD1,2009-07-03,NA,Band,CARW,2441-14206,"A/BK,W",U,U,NA,NA,18,59,NA,22.27,"yearColumn = 2009, banded 7/3/09 -",NA
STURCARMD1,2009-07-03,NA,Band,NOCA,2411-37420,"Y/R,A",AHY,M,NA,NA,41.1,96,NA,24.58,"yearColumn = 2009, banded 7/3 -",NA
STURCARMD1,2009-07-03,NA,Band,HOWR,2590-82318,"A/Y,P",AHY,F,NA,NA,10.7,48,NA,16.75,"yearColumn = 2009, banded 7/3 -",NA
STURCARMD1,2009-07-03,NA,Band,CARW,2441-14207,"A,BU/BU",HY,U,NA,NA,17.3,56,NA,20.24,"yearColumn = 2009, banded 7/3 -",NA
STURCARMD1,2009-07-03,NA,Band,GRCA,2411-37421,"PK/A,Y",AHY,F,NA,NA,38.4,90,NA,27.86,"yearColumn = 2009, banded 7/3 -",NA
STURCARMD1,2009-07-03,NA,Band,HOWR,2590-82319,"A,G/R",AHY,M,NA,NA,11.1,49.5,NA,17.33,"yearColumn = 2009, banded 7/3; yearColumn = 2010, resighted by participant 28 April; recpatured 6/1 -",NA
KESTSABDC1,2009-07-11,NA,Band,GRCA,2411-37159,"W/A,R",AHY,F,NA,NA,35.6,89,NA,27.76,"yearColumn = 2009, banded 7/11 -",NA
KESTSABDC1,2009-07-11,NA,Band,GRCA,2411-37160,"Y/O,A",AHY,F,NA,NA,34.8,86,NA,27.76,"yearColumn = 2009, banded 7/11 -",NA
KESTSABDC1,2009-07-11,NA,Band,AMRO,1292-64512,"PK/BU,A",AHY,F,NA,NA,75.1,121,NA,33.43,"yearColumn = 2009, banded 7/11/2009; yearColumn = 2010, resighted 5/15/10 -",NA
KESTSABDC1,2009-07-11,NA,Recap,SOSP,2251-80318,"PK,A/P",AHY,M,NA,NA,20.6,NA,NA,NA,"yearColumn = 2008, banded_July 18; yearColumn = 2009, recaught 7/11 -",NA
JACOMERMD1,2009-07-18,NA,Band,SOSP,2441-14152,"A/G,G",AHY,M,NA,NA,21.3,70,NA,22.3,"yearColumn = 2009, Banded 7/18/2009 -",NA
JACOMERMD1,2009-07-18,NA,Band,AMRO,1292-64346,"BK/A,G",AHY,M,NA,NA,73.2,128,NA,33.5,"yearColumn = 2009, Banded 7/18/2009 -",NA
BROWANNMD1,2009-07-24,NA,Band,NOCA,2301-56964,"A/BU,BU",AHY,F,NA,NA,35.7,87,NA,24.23,"yearColumn = 2009, banded 7/24/09 -",NA
BROWANNMD1,2009-07-24,NA,Band,SOSP,2441-14051,"A/PK,G",AHY,M,NA,NA,18.9,64,NA,22.37,"yearColumn = 2009, banded 7/24/09 -",NA
BROWANNMD1,2009-07-24,NA,Recap,SOSP,2341-30319,"A/P,PK",AHY,M,NA,NA,20.7,NA,NA,NA,"yearColumn = 2008, banded 11July; yearColumn = 2009, recaptured 7/24/09 -",NA
LEONTESDC1,2010-05-13,NA,Band,SOSP,2441-14052,"PK/Y,A",AHY,F,NA,NA,20.9,64,NA,20.87,"yearColumn = 2010, Captured 5/13/10 -",NA
LEONTESDC1,2010-05-13,NA,Band,NOCA,2301-56973,"W,A/BK",AHY,M,NA,NA,42.9,91,NA,23.87,"yearColumn = 2010, Captured 5/13/10 -",NA
LEONTESDC1,2010-05-13,NA,Band,AMRO,1292-64237,"G/A,W",AHY,F,NA,NA,70.9,124.5,NA,33.01,"yearColumn = 2010, Captured 5/13/10 -",NA
LEONTESDC1,2010-05-13,NA,Band,SOSP,2441-14053,"BU,A/PK",AHY,M,NA,NA,20.6,64,NA,21.09,"yearColumn = 2010, Captured 5/13/2010 -",NA
LEONTESDC1,2010-05-13,NA,Band,GRCA,2301-56972,"A,R/Y",AHY,M,NA,NA,38,86,NA,27.74,"yearColumn = 2010, Captured 5/13/2010 -",NA
LEONTESDC1,2010-05-13,NA,Band,GRCA,2301-56974,"O,A/BU",AHY,M,NA,NA,33.7,85,86,NA,"yearColumn = 2010, Captured 5/10/2010; resighted 5/20/10 at Wolfrum -",NA
KESTSABDC1,2010-05-15,NA,Band,SOSP,2441-14054,"W/Y,A",AHY,M,NA,NA,22.6,68,NA,22.61,"yearColumn = 2010, banded 5/15/10 -",NA
KESTSABDC1,2010-05-15,NA,Band,AMRO,1292-64238,"Y,A/PU",AHY,M,NA,NA,78,130,NA,33.15,"yearColumn = 2010, banded 5/15/10 -",NA
KESTSABDC1,2010-05-15,NA,Band,NOCA,2301-56975,"R,A/BK",AHY,F,NA,NA,45.3,92.5,NA,24.85,"yearColumn = 2010, banded 5/15/10 -",NA
KESTSABDC1,2010-05-15,NA,Band,GRCA,2301-56976,"PU,G/A",AHY,F,NA,NA,42,92,NA,27.59,"yearColumn = 2010, banded 5/15/10 -",NA
KESTSABDC1,2010-05-15,NA,Band,GRCA,2301-56977,"A,Y/BU",AHY,M,NA,NA,37.3,91,NA,27.56,"yearColumn = 2010, banded 5/15/10 -",NA
KESTSABDC1,2010-05-15,NA,Band,CARW,2411-14055,"A,P/P",AHY,M,NA,NA,22.1,60,51.5,22.15,"yearColumn = 2010, banded 5/15/10 -",NA
VERSBETMD1,2010-05-29,NA,Band,HOWR,2590-83112,"PK/A,P",AHY,M,NA,NA,10.7,50,39,16.63,"yearColumn = 2010, banded 5/29/2010 -",NA
STURCARMD1,2010-06-01,NA,Recap,HOWR,2590-82319,"A,G/R",NA,NA,NA,NA,NA,NA,NA,NA,"yearColumn = 2009, banded 7/3; yearColumn = 2010, resighted by participant 28 April; recpatured 6/1 ",NA
STURCARMD1,2010-06-01,NA,Band,HOWR,2460-22796,"A,Y/BK",AHY,F,NA,NA,10.6,49,NA,16.46,"yearColumn = 2010, banded 6/1 -",NA
STURCARMD1,2010-06-01,NA,Band,GRCA,2421-11515,"A,BU/W",AHY,F,NA,NA,38.8,92,NA,28.76,"yearColumn = 2010, banded 6/1 -",NA
STURCARMD1,2010-06-01,NA,Band,CACH,2460-22797,"A,BU/R",U,U,NA,NA,9.5,60,NA,15.69,"yearColumn = 2010, banded 6/1 -",NA
STURCARMD1,2010-06-01,NA,Band,CARW,2251-80342,"BU,A/O",AHY,F,NA,NA,18,58,NA,20.6,"yearColumn = 2010, banded 6/1 -",NA
STURCARMD1,2010-06-01,NA,Band,HOWR,2460-22798,"BU/O,A",AHY,M,NA,NA,10.1,51,NA,16.3,"yearColumn = 2010, banded 6/1 -",NA
VERSBETMD1,2010-06-01,NA,Band,NOCA,2421-11701,"BK,A/P",AHY,M,NA,NA,44.3,93.5,NA,25.46,"yearColumn = 2010, banded 5/29/2010 -",NA
VERSBETMD1,2010-06-01,NA,Band,NOCA,2421-11702,"BU,Y/A",AHY,F,NA,NA,42.2,89.5,NA,23.61,"yearColumn = 2010, banded 5/29/2010 -",NA
JACOMERMD1,2010-06-12,NA,Band,GRCA,2421-11623,"Y/R,A",AHY,M,NA,NA,34.3,92,NA,27.54,"yearColumn = 2010, Captured 6/12/2010 -",NA
JACOMERMD1,2010-06-12,NA,Band,GRCA,2421-11624,"A,PU/W",AHY,F,NA,NA,36.8,91.5,NA,27.2,"yearColumn = 2010, Captured 6/12/2010 -",NA
NEWBCARVA1,2010-06-19,NA,Band,HOWR,2590-82493,"W,A/R",AHY,M,NA,NA,10.8,50,NA,17.34,"yearColumn = 2010, banded 6/19/10 -",NA
NEWBCARVA1,2010-06-19,NA,Band,CACH,2590-82498,"P/R,A",HY,U,NA,NA,9.3,61,NA,15.6,"yearColumn = 2010, banded 6/19/10; resighted by participant 24 Dec -",NA
NEWBCARVA1,2010-06-19,NA,Band,CACH,2590-82500,"O,BK/A",AHY,F,NA,NA,9.2,58.5,NA,15.28,"yearColumn = 2010, banded 6/19/10 -",NA
NEWBCARVA1,2010-06-19,NA,Band,CARW,2441-14096,"P/BU,A",AHY,M,NA,NA,21.9,60,NA,21.47,"yearColumn = 2010, banded 6/19/10; resighted by participant 23 Dec -",NA
NEWBCARVA1,2010-06-19,NA,Band,NOCA,2421-11431,"Y/A,G",AHY,M,NA,NA,39.5,93,NA,24.74,"yearColumn = 2010, banded 6/19/10; resighted by participant 23 Dec; yearColumn = 2011, resighted by participant 29 Oct.; yearColumn = 2012, resighted by participant Apr. 27, 2012; yearColumn = 2013, resighted by tech 7/31/13; yearColumn = 2015, Recaptured on 6/22/15 by DME -",NA
NEWBCARVA1,2010-06-19,NA,Band,CACH,2590-82499,"R,A/O",AHY,M,NA,NA,10.1,60,NA,16.09,"yearColumn = 2010, banded 6/19/10; resighted by participant 23 Dec.; yearColumn = 2011, resighted by participant 29 Oct.; yearColumn = 2012, resighted by participant Apr. 27, 2012
Recapture 5/19/2012 -",NA
BROWANNMD1,2010-06-25,NA,Band,HOWR,2590-83149,"PK,Y/A",AHY,F,NA,NA,11.8,50,40,18.04,"yearColumn = 2010, banded 6/25/10 -",NA
BROWANNMD1,2010-06-25,NA,Band,HOWR,2590-83150,"O/O,A",AHY,M,NA,NA,10.3,50,NA,16.31,"yearColumn = 2010, banded 6/25/10 -",NA
BROWANNMD1,2010-06-25,NA,Band,CACH,2590-83151,"A/G,W",HY,U,NA,NA,10.4,62.5,NA,15.56,"yearColumn = 2010, banded 6/25/10 -",NA
BROWANNMD1,2010-06-25,NA,Band,NOCA,2421-11751,"PU,A/Y",AHY,M,NA,NA,43.3,93,NA,25.94,"yearColumn = 2010, banded 6/25/10; yearColumn = 2012, Resight 5/21/2012; yearColumn = 2014, resight by BD on July 22 -",NA
COLSKATMD1,2010-06-30,NA,Band,SOSP,2251-80359,"G/PK,A",HY,U,NA,NA,18.3,61,NA,20.86,"yearColumn = 2010, banded 6/30 -",NA
COLSKATMD1,2010-06-30,NA,Band,HOWR,2510-03854,"G,A/R",AHY,F,NA,NA,11.7,49,NA,17.81,"yearColumn = 2010, banded 6/30; resighted by participant 10 August -",NA
COLSKATMD1,2010-06-30,NA,Band,HOWR,2510-03853,"BK/A,Y",AHY,M,NA,NA,11.4,53,NA,17.16,"yearColumn = 2010, banded 6/30: resighted by participant 16 July -",NA
COLSKATMD1,2010-06-30,NA,Band,SOSP,2251-80360,"O/A,BK",AHY,M,NA,NA,22.9,66,NA,22.28,"yearColumn = 2010, banded 6/30 -",NA
COLSKATMD1,2010-06-30,NA,Band,CARW,2251-80361,"A,Y/G",AHY,F,NA,NA,18.1,58,NA,21.11,"yearColumn = 2010, banded 6/30 -",NA
MANNJANDC1,2010-07-01,NA,Band,NOCA,2421-11538,"W/A,G",AHY,F,NA,NA,43.8,91,NA,23.02,"yearColumn = 2010, banded 7/1 -",NA
MANNJANDC1,2010-07-01,NA,Band,NOCA,2421-11537,"O/O,A",HY,U,NA,NA,37.7,88,NA,23.56,"yearColumn = 2010, banded 7/1 -",NA
MANNJANDC1,2010-07-01,NA,Band,NOCA,2421-11539,"BU/BU,A",HY,U,NA,NA,43.1,90,NA,24.09,"yearColumn = 2010, banded 7/1 -",NA
MANNJANDC1,2010-07-01,NA,Band,NOCA,2421-11540,"A,O/Y",HY,U,NA,NA,40.2,90,NA,23.64,"yearColumn = 2010, banded 7/1 -",NA
MANNJANDC1,2010-07-01,NA,Band,AMRO,1272-43050,"A,G/PK",AHY,F,NA,NA,65.8,125,NA,NA,"yearColumn = 2010, banded 7/1 -",NA
MANNJANDC1,2010-07-01,NA,Band,NOCA,2421-11541,"R/R,A",HY,U,NA,NA,36.5,96,NA,22.72,"yearColumn = 2010, banded 7/1 -",NA
MANNJANDC1,2010-07-01,NA,Recap,NOCA,2411-37739,"A/R,O",AHY,F,NA,NA,37.9,NA,NA,NA,"yearColumn = 2009, banded 6/16/09; yearColumn = 2010, recap 7/1 -",NA
MANNJANDC1,2010-07-01,NA,Recap,CARW,2441-15024,"R/A,BK",AHY,M,NA,NA,20.9,NA,NA,NA,"yearColumn = 2009, banded with aluminum already had R,Bk; yearColumn = 2010, recap 7/1/2010 -",NA
BLOCDAVMD1,2010-07-07,NA,Band,CACH,2610-37339,"A,PK",HY,U,NA,NA,8.9,56,NA,13.95,"yearColumn = 2010, Captured 7/7/2010 -",NA
BLOCDAVMD1,2010-07-07,NA,Band,GRCA,2421-11665,"A,O",HY,U,NA,NA,35.5,86.5,NA,27.14,"yearColumn = 2010, Captured 7/7/2010 -",NA
BLOCDAVMD1,2010-07-07,NA,Band,GRCA,2421-11666,"PK,A",HY,U,NA,NA,35.8,88,NA,27.28,"yearColumn = 2010, Captured 7/7/2010 -",NA
BLOCDAVMD1,2010-07-07,NA,Band,HOWR,2610-37340,"A,PK",AHY,F,NA,NA,10.1,53.5,NA,17.23,"yearColumn = 2010, Captured 7/7/2010 -",NA
BLOCDAVMD1,2010-07-07,NA,Band,HOWR,2610-37341,"A,P",HY,U,NA,NA,10.3,50,NA,15.8,"yearColumn = 2010, Captured 7/7/2010 -",NA
BLOCDAVMD1,2010-07-07,NA,Band,GRCA,2421-11667,"A,Y",AHY,F,NA,NA,35.8,88,NA,27.61,"yearColumn = 2010, Captured 7/7/2010 -",NA
BLOCDAVMD1,2010-07-07,NA,Band,SOSP,2441-96325,"BU,Y/A",AHY,F,NA,NA,19.9,64.5,NA,22.4,"yearColumn = 2010, Captured 7/7/2010 -",NA
BLOCDAVMD1,2010-07-07,NA,Band,CACH,2610-37342,"R/A,R",AHY,F,NA,NA,9.8,62,NA,16.08,"yearColumn = 2010, Captured 7/7/2010 -",NA
BLOCDAVMD1,2010-07-07,NA,Band,CARW,2441-96326,"Y,A/BK",AHY,F,NA,NA,15.7,55,NA,21.28,"yearColumn = 2010, Captured 7/7/2010 -",NA
BLOCDAVMD1,2010-07-07,NA,Recap,HOWR,2590-82609,"G/A,P",AHY,M,NA,NA,11.1,NA,NA,NA,"yearColumn = 2009, banded 6/23/09; yearColumn = 2010, Recap 7/7/2010 -",NA
KEYESUSMD1,2010-07-09,NA,Band,HOWR,2590-83168,"A,BU/BK",AHY,M,NA,NA,10.8,51,NA,17.02,"yearColumn = 2010, banded 7/9/10 -",NA
KEYESUSMD1,2010-07-09,NA,Band,NOCA,2421-11773,"R,A/G",AHY,F,NA,NA,46.5,92.5,NA,25.64,"yearColumn = 2010, banded 7/9/10 -",NA
KEYESUSMD1,2010-07-09,NA,Band,NOCA,2421-11774,"A/BK,PU",AHY,F,NA,NA,38.8,91,NA,22.9,"yearColumn = 2010, banded 7/9/10 -",NA
KEYESUSMD1,2010-07-09,NA,Band,HOWR,2590-83167,"A,PU/W",AHY,M,NA,NA,10.8,50,NA,16.62,"yearColumn = 2010, banded 7/9/10; yearColumn = 2012, Recapture 6/11/2012 -",NA
KEYESUSMD1,2010-07-09,NA,Band,HOWR,2590-83169,"G,A/W",AHY,F,NA,NA,12,49,NA,17.81,"yearColumn = 2010, banded 7/9/10; yearColumn = 2012, Resight 6/2/12 -",NA
KEYESUSMD1,2010-07-09,NA,Band,CACH,2590-83170,"PU,A/BU",HY,U,NA,NA,9.8,60.5,NA,16.48,"yearColumn = 2010, banded 7/9/10; yearColumn = 2013, resighted by participant 4/4/2013 -",NA
KEYESUSMD1,2010-07-09,NA,Band,CACH,2590-83171,"A,Y/Y",HY,U,NA,NA,9.3,60.5,41,15.04,"yearColumn = 2010, banded 7/9/10; yearColumn = 2013, resighted by participant 4/4/2013; yearColumn = 2014, recaptured by BD July 26 -",NA
BEALTOMMD1,2010-07-13,NA,Band,CACH,2460-22970,"A,BU/G",HY,U,NA,NA,9.5,62,NA,15.74,"yearColumn = 2010, banded 7/13 -",NA
BEALTOMMD1,2010-07-13,NA,Band,NOCA,2421-11548,"P,Y/A",AHY,F,NA,NA,51.7,92,NA,24.15,"yearColumn = 2010, banded 7/13 -",NA
BEALTOMMD1,2010-07-13,NA,Band,CACH,2460-22971,"W/A,O",U,U,NA,NA,10.5,61,NA,15.48,"yearColumn = 2010, banded 7/13 -",NA
BEALTOMMD1,2010-07-13,NA,Band,CACH,2460-22972,"P/BK,A",AHY,F,NA,NA,9.4,60,NA,14.65,"yearColumn = 2010, banded 7/13 -",NA
